Date,Stock_Name,Avg_Return
2020-01-02,ACES,
2020-01-03,ACES,0.003311198186516151
2020-01-06,ACES,-0.02970293269866875
2020-01-07,ACES,-0.020408205302709925
2020-01-08,ACES,-0.020833272003239922
2020-01-09,ACES,0.035460993669321095
2020-01-10,ACES,0.0239725824974919
2020-01-13,ACES,-0.003344420979205953
2020-01-14,ACES,0.06711409259584977
2020-01-15,ACES,0.006289193793913128
2020-01-16,ACES,0.0
2020-01-17,ACES,0.012500057956938981
2020-01-20,ACES,0.0
2020-01-21,ACES,0.015432099342317152
2020-01-22,ACES,-0.0030394585686593922
2020-01-23,ACES,-0.01219517711546203
2020-01-24,ACES,0.006172821045851595
2020-01-27,ACES,-0.0030674291043060187
2020-01-28,ACES,0.003076867176232456
2020-01-29,ACES,-0.02147237525827006
2020-01-30,ACES,-0.0188087211914838
2020-01-31,ACES,0.09904137684648351
2020-02-03,ACES,-0.0697674152491835
2020-02-04,ACES,0.0
2020-02-05,ACES,0.0
2020-02-06,ACES,0.02500011591387774
2020-02-07,ACES,0.024390261915252953
2020-02-10,ACES,-0.041666719235311844
2020-02-11,ACES,-0.012422322867739588
2020-02-12,ACES,-0.003144692115636283
2020-02-13,ACES,0.015772870963782548
2020-02-14,ACES,0.021739112036465613
2020-02-17,ACES,0.003039550603740837
2020-02-18,ACES,-0.03636361801239951
2020-02-19,ACES,-0.018867962256458037
2020-02-20,ACES,0.0
2020-02-21,ACES,-0.003205167087264371
2020-02-24,ACES,-0.028938869498190134
2020-02-25,ACES,0.02649008680903875
2020-02-26,ACES,-0.01612893458212672
2020-02-27,ACES,-0.01639354027262907
2020-02-28,ACES,0.00999991925455812
2020-03-02,ACES,-0.04290411398059468
2020-03-03,ACES,0.010344638564123487
2020-03-04,ACES,0.047781739265230216
2020-03-05,ACES,-0.0325734845929424
2020-03-06,ACES,-0.01683491694331163
2020-03-09,ACES,-0.04452056960794737
2020-03-10,ACES,0.02508958511818027
2020-03-11,ACES,-0.01398597252544409
2020-03-12,ACES,-0.039007135985957175
2020-03-13,ACES,0.0
2020-03-16,ACES,-0.033210289636675605
2020-03-17,ACES,-0.05343506951061683
2020-03-18,ACES,-0.01209685936460081
2020-03-19,ACES,-0.0693877346718621
2020-03-20,ACES,-0.02192989183762495
2020-03-23,ACES,-0.06726451340636996
2020-03-24,ACES,0.05769228109692581
2020-03-26,ACES,0.15909085122194822
2020-03-27,ACES,0.02745107864642593
2020-03-30,ACES,-0.007633564848549712
2020-03-31,ACES,0.0
2020-04-01,ACES,-0.007692517319897285
2020-04-02,ACES,-0.046511555578871544
2020-04-03,ACES,0.04065047355177143
2020-04-06,ACES,0.019531251386087467
2020-04-07,ACES,0.015325625159446243
2020-04-08,ACES,-0.06792444465316372
2020-04-09,ACES,-0.03643726011584936
2020-04-13,ACES,0.00420166811014
2020-04-14,ACES,0.0209205031522397
2020-04-15,ACES,0.04508189499302939
2020-04-16,ACES,-0.027450841159804007
2020-04-17,ACES,0.08064503722613048
2020-04-20,ACES,-0.02238799393505264
2020-04-21,ACES,-0.02290081011641787
