ticker,title,sentiment,score,url
MAPI,"Ada Pengendali Baru, MAPI Gelar Tender Offer di Harga Segini",positive,2,https://www.cnbcindonesia.com/market/20260508173817-17-733576/ada-pengendali-baru-mapi-gelar-tender-offer-di-harga-segini
ANTM,"Terungkap, Prudential & Dapen Malaysia Punya 1% Saham Antam (ANTM)",positive,2,https://www.cnbcindonesia.com/market/20260508151826-17-733513/terungkap-prudential-dapen-malaysia-punya-1-saham-antam--antm-
MAPI,"MAPI Diakuisisi Perusahaan Singapura, Nilainya Rp11,8 Triliun",positive,2,https://www.cnbcindonesia.com/market/20260508164726-17-733557/mapi-diakuisisi-perusahaan-singapura-nilainya-rp118-triliun
BBRI,"Dividen Cair, Pengamat Optimis Saham BRI Berpotensi Melesat",positive,2,https://www.cnbcindonesia.com/market/20260508150814-17-733501/dividen-cair-pengamat-optimis-saham-bri-berpotensi-melesat
BBRI,"Empat Hari Saham BBRI Naik Nyaris 10%, Asing Berebut",positive,2,https://www.cnbcindonesia.com/market/20260507175044-17-733220/empat-hari-saham-bbri-naik-nyaris-10-asing-berebut
BBNI,"BNI Hadirkan Life Goals di wondr, Nabung Haji Jadi Lebih Terarah",positive,2,https://www.cnbcindonesia.com/market/20260507180905-17-733229/bni-hadirkan-life-goals-di-wondr-nabung-haji-jadi-lebih-terarah
BBRI,"Hormati Proses Hukum, BRI Kooperatif Terkait Kasus KoinWorks",positive,2,https://www.cnbcindonesia.com/market/20260507151932-17-733144/hormati-proses-hukum-bri-kooperatif-terkait-kasus-koinworks
TLKM,"Diselidiki Regulator Pasar Modal AS, Telkom (TLKM) Buka Suara",neutral,2,https://www.cnbcindonesia.com/market/20260506120728-17-732698/diselidiki-regulator-pasar-modal-as-telkom--tlkm--buka-suara
BMRI,"Bank Mandiri Siap Bagi Dividen Rp376,95 per Saham, Catat Tanggalnya!",positive,2,https://www.cnbcindonesia.com/market/20260504215414-17-732187/bank-mandiri-siap-bagi-dividen-rp37695-per-saham-catat-tanggalnya
AMRT,"Tertarik Punya Alfamart Sendiri, Segini Biaya dan Balik Modal 2026",neutral,2,https://www.cnbcindonesia.com/market/20260503163040-17-731799/tertarik-punya-alfamart-sendiri-segini-biaya-dan-balik-modal-2026
BBNI,"Saldo Minimum Bank Mandiri, BRI, BNI Terbaru per Mei 2026",neutral,2,https://www.cnbcindonesia.com/market/20260502080256-17-731635/saldo-minimum-bank-mandiri-bri-bni-terbaru-per-mei-2026
BMRI,"Keren, Jajan di Tiongkok Kini Bisa Bayar Pakai QR Bank Mandiri",neutral,2,https://www.cnbcindonesia.com/market/20260501150622-17-731566/keren-jajan-di-tiongkok-kini-bisa-bayar-pakai-qr-bank-mandiri
PTBA,"Laba PTBA Naik 105%, Bos Besar Ungkap Penyebabnya",positive,2,https://www.cnbcindonesia.com/market/20260501060912-17-731440/laba-ptba-naik-105-bos-besar-ungkap-penyebabnya
UNTR,"Laba United Tractors (UNTR) Anjlok 80%, Ada Apa?",negative,2,https://www.cnbcindonesia.com/market/20260430162542-17-731357/laba-united-tractors--untr--anjlok-80-ada-apa
BBRI,"BRI Tak Revisi RBB, Ekonomi Domestik Masih Kuat",neutral,2,https://www.cnbcindonesia.com/market/20260430151631-17-731328/bri-tak-revisi-rbb-ekonomi-domestik-masih-kuat
BBRI,"Saham Terkoreksi Sejak Awal Tahun, Bos BRI Bilang Gini",neutral,2,https://www.cnbcindonesia.com/market/20260430123851-17-731277/saham-terkoreksi-sejak-awal-tahun-bos-bri-bilang-gini
BBRI,"BRI di Tahun Pertama Hery Gunardi: CASA Ngebut, Profitabilitas Tebal",positive,2,https://www.cnbcindonesia.com/market/20260430125728-17-731269/bri-di-tahun-pertama-hery-gunardi-casa-ngebut-profitabilitas-tebal
BBRI,"Optimis Menguat, CEO Astronacci Ungkap Potensi Saham BBRI",positive,2,https://www.cnbcindonesia.com/market/20260430124019-17-731247/optimis-menguat-ceo-astronacci-ungkap-potensi-saham-bbri
UNVR,"Kinerja Apik, Unilever (UNVR) Catat Laba Rp1,3 T di Kuartal I-2026",positive,2,https://www.cnbcindonesia.com/market/20260430122544-17-731243/kinerja-apik-unilever--unvr--catat-laba-rp13-t-di-kuartal-i-2026
BBRI,"Kredit UMKM Menantang, Begini Cara BRI Kelola Risiko",positive,2,https://www.cnbcindonesia.com/market/20260430114634-17-731236/kredit-umkm-menantang-begini-cara-bri-kelola-risiko
